time	score	note
2013/12/08 11:02:10	6	pleases Bosporus cartoons segment
2014/04/09 00:20:54	3	goings
2013/12/25 06:26:29	6	plebian addicts forcefulness graphic grail
2014/06/07 08:24:12	3	smelly
2014/08/12 15:33:12	4	stud
2013/12/13 06:51:17	6	boastfully secrecy
2014/06/07 00:27:56	3	insistence quaternary goaded mantlepiece
2014/02/25 14:02:07	5	quay attitude
2013/10/12 10:01:15	7	transistorizing
2014/06/10 08:09:54	9	prompts Fulbrights crafty
2014/01/19 11:42:32	6	aviators decomposes
2013/11/27 13:05:39	3	poured incredible trips retry
2014/05/24 17:02:53	5	Durham developmental coopers
2014/06/26 11:31:08	4	Bette strutting Northampton today
2013/12/02 19:08:30	10	flatter subdirectory domesticating
2014/07/04 00:29:37	3	Carlisle browbeaten ferociousness
2014/05/07 10:09:19	5	grader pulling bylaw grave released
2014/02/18 09:45:55	1	transitory
2014/08/21 20:03:43	3	shone satanic
2013/09/21 03:55:39	6	reanalyzes interrelated bespoke added
2013/12/29 14:13:06	5	married bimodal dusky hangovers crazy
2014/03/06 11:13:46	4	inhabiting calmed shipmate translator
2014/06/08 07:30:34	1	Davison walling withers jostling
2014/05/25 05:10:48	3	soften strays poisons canner
2013/11/28 19:12:02	8	moduli Derek antiques flux grotesque
2014/03/29 23:54:57	1	distance
2013/11/15 20:54:30	10	laughter strategist
2014/02/05 09:46:30	6	downfall pessimism sculpts suitableness consumers
2014/01/06 14:50:33	10	hears incidentals sharpest
2014/06/09 06:55:40	10	loaned dote Hebe squirm
2014/06/10 05:17:30	9	soars biologists necessitation
2014/09/09 18:02:59	1	mains align madam
2013/11/08 12:54:01	5	troubling Cooley nourish
2013/12/18 17:48:36	8	peaks freeness resolve
2013/11/28 00:00:24	4	indulge pumpkins laid provokes
2014/06/24 12:36:24	7	Spartanize arachnid debuggers denotational Orville
2014/04/11 01:56:27	4	byways eavesdropping thunders scouted
2014/01/22 05:24:47	2	secreting snouts
2014/07/18 01:40:33	9	driven interconnecting grind
2014/03/03 20:49:23	5	protestation
2014/05/07 21:41:14	9	Ali oral Nina sparrows
2014/08/31 02:11:49	5	implementer thump ossify syrup
2014/06/25 17:03:36	10	relics
2014/04/16 06:33:18	6	forbears conflicting deliberative preinitialize nudged
2014/03/26 20:31:47	6	Episcopalianize Veronica
2014/04/10 23:50:24	9	birthplace canvasser incredible postcondition engenders
2014/06/25 06:46:12	1	flail mountainous
2013/10/01 17:11:40	8	northeastern eliminations Cupid reconfigurations manage
2014/02/26 00:56:34	5	Appleby infirmary
2013/11/01 11:51:15	7	cremation shipyard
2014/05/31 17:06:53	6	sophistication
2014/06/17 03:56:21	4	Gatsby
2014/02/15 13:51:38	5	awaking wooded
2014/04/04 11:02:07	9	perfectness dyne Brindisi compression tours
2013/10/17 10:09:37	2	gaseously Lola rhyming lexicons
2013/09/16 09:19:01	10	Russia
2013/10/30 19:21:40	3	DiMaggio Diana blemishes conquerors
2013/11/11 23:03:05	7	apricots
2014/06/27 23:04:33	8	whooped mural
2014/06/10 07:02:28	9	cytoplasm prints
2014/01/30 22:01:01	2	rhombus additional
2014/08/29 20:09:12	7	supersede Heinrich
2014/02/04 12:32:36	8	participle unities overwritten cowering daytime
2014/05/13 00:31:26	3	grease
2014/03/06 14:02:02	5	reuniting Brunhilde
2014/08/04 10:16:07	4	fecund
2014/04/28 17:59:44	8	probing unwillingly pacifies barbarities flunked
2013/09/15 10:03:10	7	fobbing chording deviates NATO
2014/06/10 07:58:05	9	violinists
2014/03/03 23:37:52	7	Caesarizes harlot Angie appertains
2013/12/30 05:24:23	5	bloods
2014/05/07 20:29:38	5	Statler
2014/08/04 03:41:05	5	romper constitutive belied
2014/04/23 08:53:51	4	frisked
2014/02/28 20:25:09	7	oscillation naked suspicions progressive
2014/05/27 12:29:10	7	germicide
2014/05/13 04:15:43	4	councils ostentatious meaningfulness consume
2014/03/01 04:15:41	9	found autumnal philosophizing keypads gears
2014/03/02 11:18:10	10	skewers
2014/05/03 14:16:54	4	cosine neckties attenders caving confronter
2014/07/02 16:01:00	9	Suez
2014/07/09 21:19:01	7	surrendered Hubbell bottlers revolution overt
2014/07/05 06:39:23	3	ships
2014/08/21 08:12:18	8	accede psychopath
2014/07/08 22:31:18	8	divert
2014/05/12 12:51:31	2	yanking Melampus
2014/05/17 14:21:58	2	irons touchiness miscellaneous
2014/03/25 17:22:19	8	eunuchs abbeys merchant Stalins
2014/04/29 17:11:41	2	bouncy
2014/02/14 02:33:16	3	borrow
2014/08/04 04:36:14	9	utilized biomedical Olga Koch
2014/03/22 19:39:09	8	cowardly
2014/04/07 11:13:12	10	desirable plebian spender scrape decoding
2014/04/20 09:57:24	2	assail cheese Eurasian inauguration simmer
2013/10/25 15:39:00	6	pioneer
2014/01/10 09:11:30	10	supergroups liters Levis bench nongovernmental
2014/04/11 03:53:42	10	disclaimed Loyola
2013/10/07 08:01:59	8	partridges directrices brawl Larsen makings
2014/04/21 07:47:51	4	sprinkle
2014/06/04 14:24:44	5	investigatory summarization assiduous muskoxen mourners
2014/04/06 22:11:43	7	retiring
2014/06/16 00:15:04	5	server Voltaire maids Mongolian loin
2014/06/04 12:08:04	2	tapering immaculate pundit dips headlines
2013/10/14 08:31:33	4	nonspecialist Blum wavefronts submariners sing
2014/04/26 00:04:46	7	devilishly arrives foist Willem
2014/05/16 16:28:18	6	weasels dunce producible Chancellorsville sunlit
2014/03/03 18:24:01	6	Clyde Orientalized excreting bankruptcy
2014/09/07 06:03:34	10	finessing tiles rebelling
2013/11/18 22:24:26	10	blustering facto founds
2013/09/15 05:15:26	9	Karen ellipsoids orientation
2013/10/18 07:42:16	3	overloading Newmanizes airfield
2014/04/22 03:35:16	4	complacency elucidate Mercedes totalities
2014/02/18 12:37:05	10	reclaimer
2014/06/02 03:54:11	4	ravager message motif centerpieces
2013/09/15 05:22:41	1	pithes continuance
2013/11/26 11:10:04	5	commodores situationally Norristown wild
2014/05/02 05:00:38	2	Kamchatka pronouncements
2014/02/09 17:11:14	3	Francine
2013/09/28 06:54:01	6	thunderbolts
2013/12/22 09:10:46	4	scram avariciously dielectrics pencils loudest
2013/12/15 12:57:11	6	nibbler brooder subtract fantasy expounding
2013/09/24 07:01:12	7	Shakespearean feared schematics
2013/10/24 16:03:11	2	rink
2014/06/25 18:05:40	8	bicycling groggy denunciation purges
2014/02/05 05:34:36	9	adventitious naively
2014/03/15 11:40:36	9	wording sick copiously poured
2013/10/22 17:54:01	3	wiles interrogative
2014/05/03 12:36:44	6	chillingly
2014/08/18 03:44:24	3	communicate Cunningham
2014/04/30 16:14:56	3	ceding
2013/11/10 10:12:18	6	stockroom drifting sheen mutterer
2014/04/02 16:19:31	6	belied veer pursuing
2014/09/01 06:02:10	10	Nichols Melanie snare Lichter
2013/09/19 02:19:37	7	Niccolo coded
2013/12/11 04:07:06	1	Goren agencies
2013/10/11 21:16:22	4	global Eleazar aquifer taller
2014/08/14 01:24:56	5	outlying binders
2013/11/25 19:51:34	1	politic mixing kindle treated Vella
2014/08/31 07:00:24	6	besmirch
2014/06/25 02:34:28	5	world wager certifier rhythms axles
2014/04/25 05:23:31	3	birthplace Judaism ugh Patsies cape
2014/09/10 05:20:06	8	dubiousness wages
2014/02/12 13:26:38	9	Zeiss
2014/05/13 00:06:02	8	inscribing enhances awhile pry fights
2014/01/30 20:05:12	3	bruise
2014/04/09 11:26:20	1	simulcast blandness
2013/11/11 22:52:07	2	flexible opulent impersonally blacker
2014/06/07 08:45:31	7	incisive Allentown seeps brae
2014/08/08 06:55:03	4	astral bustling dahlia raining
2014/04/09 03:26:30	2	delineate intrigue Gothicism hall
2014/08/22 21:51:57	8	polices passing Gothically Jane
2013/11/25 21:43:10	10	pineapples relabelling passed
2014/04/22 19:36:27	9	rotor somersault deliverables
2014/05/01 00:05:37	10	hurtle Mardi
2013/09/12 18:18:38	9	cocked
2014/06/29 00:40:07	5	bleached strenuous
2014/02/11 10:11:53	6	Bertie
2014/03/25 00:20:49	1	nastiest monostable goes
2014/07/22 23:55:53	6	grafter Pyle agonized nails
2014/06/14 18:10:29	6	puncture hunches Chartres migrations
2013/12/16 03:02:23	8	annually whirled
2013/12/08 23:49:56	2	counteracted
2014/08/11 08:09:04	10	disquiet bakers revoked accentual
2014/08/08 08:54:52	8	booths abed
2014/01/19 16:44:18	8	ejaculates
2014/05/02 22:17:10	10	workman acclamation messiness blowers exposers
2014/08/28 05:52:21	5	grownups principled degree
2014/04/19 20:26:35	7	Doric compatibilities evening Aitken
2014/05/06 14:45:45	9	degraded Andrews
2014/08/23 12:09:27	3	Erikson vermin manicure realest
2014/03/22 14:49:41	9	utilized
2014/08/31 17:16:06	9	Roxy
2014/08/15 07:05:09	1	Cauchy questing Charlie shrub
2014/01/23 02:06:13	3	pieces
2013/10/01 19:27:16	7	liken Horace
2014/05/28 21:53:49	6	revolts
2013/10/15 12:47:45	5	subsisted startup Hitlerites
2014/04/30 08:46:18	5	obeys hefty clatter indicates grisly
2014/05/19 01:54:17	10	now
2014/03/03 00:08:17	2	hygiene kite
2014/08/14 10:11:13	8	plotting
2013/12/07 07:10:40	7	defenestrating postman Fijians
2014/05/13 23:13:31	5	borders instruct
2014/05/29 21:09:33	8	hedged
2013/12/29 02:36:46	3	debutante survives reclaim
2014/04/27 18:32:09	7	superb rare
2013/09/22 17:21:09	7	rumpled Brillouin stifle steel damping
2014/01/22 03:50:17	3	Bangladesh haul counsel reabbreviating eccentric
2014/07/15 17:23:37	4	Urania Indochinese
2014/04/20 17:02:49	2	borderline simulcast elevate sulkiness
2014/07/09 00:21:34	1	cackle jars recreate infinitive
2014/03/01 03:34:33	1	aspires
2013/12/18 17:58:31	5	statuette Della ascendency
2013/10/19 00:52:23	7	tonics proposal
2014/01/28 23:43:30	10	minuter deigned alcoholic gassy see
2014/07/01 23:16:51	6	Orion
2013/12/23 08:20:39	5	ranched amuse begrudges
2014/07/18 04:54:56	4	evicting pull mark Plexiglas
2014/07/15 13:48:42	4	Nineveh migration more restaurateur bandstand
2014/03/16 22:24:26	5	kittenish procreate deceptions hopefulness mash
2014/03/30 10:36:21	4	delta
2014/01/30 12:50:39	3	Addison tugs
2014/01/22 12:19:11	2	locates gerbil cortex sheen
2013/11/29 07:40:36	1	Deanna buffets warring clicked
2014/03/18 03:48:25	8	drowsy Christine
2013/10/19 12:17:37	9	encouragements treasuries Carlo Capet
2014/01/24 16:07:29	2	incubates distinguishing floodlight unlock resolvers
2013/10/16 09:57:08	7	sprinting dative tillable awkwardly
2013/10/18 17:46:47	1	faintness Draco atonement craftspeople
2014/08/07 00:29:30	1	homogeneously snorts assembling
2014/01/11 02:17:56	3	antisera experimenting havoc naughtiness backache
2013/09/12 04:20:55	5	angrier acknowledger coatings
2014/02/19 00:21:17	1	hearten rallying Bellini beech regretfully
2014/01/12 19:41:32	7	activation horrifying intensively blur philosophy
2013/11/28 16:57:19	2	carnal reappraisal basal
2014/07/24 07:12:20	1	brevets dabbled unfamiliar Wilkins tachometers
2014/04/09 06:29:40	5	boric DiMaggio vase
2014/03/24 23:31:04	6	swordfish DECstation
2013/12/19 02:00:13	3	ill collaboration
2014/08/12 08:03:19	3	assemblages algebras
2014/07/18 13:01:07	2	incompatible innocuously conservations
2014/06/06 14:08:57	7	sulphuric hamburger venom substring Todd
2013/10/18 22:21:38	1	pined piano rearranged Daly terminated
2013/12/20 06:31:56	2	stormiest bloodshed Kingston sweepers
2013/10/18 12:45:35	3	posterity proclivities
2014/06/27 21:44:26	4	concern placing frail lexicographical Kronecker
2014/01/11 12:35:32	3	shred fathoming spying
2013/11/24 19:04:20	4	pan port secretary
2013/12/23 05:46:33	3	smoky perpetrations sidearm automobiles
2013/12/19 03:41:02	3	unequally shouted Prattville intestinal
2014/03/25 02:14:42	3	competitive blisters evaluated
2013/11/10 16:56:05	6	pedigree rugs Denver blanketing Lucian
2014/05/29 05:16:00	9	degrades concur panty opportune
2014/08/28 06:23:45	9	sobriety protrusions
2014/07/22 14:03:51	5	epitomizing Gothicize Yankee bubbling
2013/12/31 17:51:49	5	cataclysmic biddy
2013/10/29 09:03:45	2	Stevenson Adrian rawness purporting
2014/03/26 17:54:12	8	sawdust
2014/07/23 00:04:57	9	bristling indolent
2014/06/05 01:38:51	9	disburses taper
2014/06/20 19:02:01	7	befuddled wave
2013/10/10 07:17:06	7	stomaching Velasquez patiently perilous furnishes
2014/07/04 00:24:24	10	gingerly
2014/03/23 09:02:02	2	worldliness commit
2014/05/28 17:01:42	4	Ohio adagios unifications concedes
2014/04/14 06:11:34	6	jurors tins ingredient entrepreneur
2014/05/15 16:26:30	6	mitten expending escort vehement Dayton
2014/05/10 09:43:59	2	factually
2014/01/10 02:26:31	8	decimate she hammers
2013/12/22 08:37:43	10	wonderingly looped oversees
2013/09/29 19:34:13	8	chemically opals
2014/07/17 13:24:45	6	pivoting insurance
2014/05/20 09:42:32	3	gods
2013/09/17 13:30:50	1	enders Procrusteanize unguarded
2014/02/07 02:43:14	1	seriousness twirler adversities spiral
2013/11/27 21:58:41	8	papal Maharashtra
2014/07/21 13:56:00	3	transporter
2014/04/20 09:52:37	5	Miltonian forty modifiability
2014/02/02 11:03:37	7	telephoned accrue unintelligible
2014/03/01 14:22:46	10	differentiating
2014/08/25 13:38:27	5	degree
2014/01/29 06:43:38	5	behavior foregoes clothing cultivation soldiering
2014/08/25 07:59:36	4	psyches voucher
2014/09/02 04:48:29	2	bigotry
2014/08/24 11:55:04	7	commissions awash airy Jennie blink
2013/10/16 09:47:38	5	Joliet spatula lost global
2014/01/06 13:35:10	4	uncorrected soured compactor hypocrisies forcer
2013/10/22 14:34:04	3	falsehood quits championing underplayed
2014/05/22 02:25:20	5	coined Bundestag subtracting firming
2014/01/05 13:02:16	9	emergence palace reclassification circuitous
2014/08/15 13:13:16	2	myself comment betraying clattering Clare
2014/08/28 08:03:04	7	trafficking
2014/04/17 03:30:03	6	laser rowboat spaces blowup
2014/03/16 23:48:09	5	seems homesteader attracting timeless
2014/02/03 22:35:28	1	qualification evergreen summary
2014/09/06 09:41:56	5	Pickman Moldavia prerequisites
2014/07/16 17:28:55	8	correlation
2014/08/12 01:38:20	4	ordain concourse refuge reformatted hyena
2014/06/11 02:24:48	4	scoffer concerted thoughts uncomputable
2014/05/19 18:45:21	3	synchronizing
2013/11/12 20:42:50	7	question differ acrid gladden
2013/09/24 03:28:37	4	military firmed Nilsen adulterous appealingly
2013/10/22 04:52:16	4	disposer precariously
2014/02/06 02:53:49	1	fungal strait fooled
2014/07/20 09:32:13	5	Scotland sinner dormitories
2013/10/18 16:06:23	4	ceasing eager midday potential forestalls
2014/03/07 01:01:24	9	shadiest uncommitted specialization freighting
2013/11/02 06:25:18	3	regents
2013/11/10 14:47:45	1	positron pilgrims claimed broadenings
2014/06/08 00:04:31	10	instituting confront flood cancellation Merck
2014/03/22 15:09:55	9	gouges
2014/06/09 02:45:44	4	paintings profile whelp quad mechanizing
2013/10/23 17:49:02	6	telegraph Victoria stipulation synopses astronomers
2013/12/23 01:38:17	3	usably dimensionally closet sods
2014/01/18 04:50:00	1	mini burgeoning
2013/11/20 06:03:47	5	happiness best epaulets aimed
2014/01/05 20:39:39	3	Baptist pallid Sudanic
2014/04/09 03:07:21	2	unquestionably Parkersburg
2014/04/03 19:28:02	5	Elliot squid grinders
2013/12/09 23:16:44	1	tastes Molochize
2013/11/22 15:01:28	4	sprinkles
2013/10/21 21:20:36	10	apply image hiker
2014/09/03 09:59:23	9	lisp coming precocity rejoiced
2014/08/12 16:15:57	3	Uruguay'a
2014/02/05 11:39:01	10	essence protrude junction
2014/06/26 02:30:55	3	previously rugs interruptions van
2014/03/28 13:47:23	3	ohm streeters promulgate
2014/05/05 23:14:21	10	bounteous Alexei incremented
2014/03/09 10:26:54	4	bungalows Libya underlines
2014/08/10 19:16:43	10	urchins heterogenous
2014/09/08 00:11:41	7	variety unfaithfulness dogged resplendently vouches
2014/04/18 18:02:32	9	detractors surgery
2014/06/02 05:35:41	10	amazers normalizing
2014/01/09 09:23:06	5	makes smuggles rampart zealousness rays
2014/03/01 18:35:09	9	Brahmaputra Satan curlicue assessing horsefly
2013/11/27 00:49:32	10	bimetallic bewailing unqualifiedly carton
2014/03/05 14:47:49	7	algaecide
2014/08/06 23:51:25	6	hears vases
2013/11/17 01:37:07	6	perfectness obstructions Hennessy complimented odiousness
2014/09/10 13:11:21	10	commitment
2014/06/28 00:01:31	7	intervals
2014/01/02 09:42:10	3	Cavendish hindsight
2014/01/13 19:42:00	3	supergroups Joseph cartography awkward birdie
2013/11/22 18:28:41	2	grossness postlude treatise deviate individualizing
2013/11/15 10:02:50	7	enunciation felony computers amazingly
2014/03/22 17:42:00	4	young digitally Asian bipeds
2014/05/18 20:00:41	6	sensibly sifting appointing stupidities
2014/04/14 18:52:11	7	veterans crux workbook
2013/10/04 01:30:53	9	overtaking hoes startle railroader
2014/07/20 05:20:43	5	boss distort
2014/05/14 08:58:55	3	aurora
2014/02/21 02:37:20	6	stockroom
2014/08/08 02:37:49	4	annoyers beings Buckley
2013/12/11 04:37:23	1	evidently bitterer woodcocks
2013/11/29 06:53:55	6	tailoring
2013/12/31 13:30:02	7	amphibians boolean
2013/10/07 12:28:05	2	regional octaves losses
2014/01/17 01:34:39	8	adjudicated Athena thinkable
2014/09/07 16:47:09	3	athlete Klan rotations
2014/09/10 22:16:19	7	Naples bulls avails enhanced
2014/07/26 21:44:56	7	lounged
2014/02/01 19:26:12	2	vignettes gainful aquarium Nate
2014/08/01 05:21:06	5	indirection
2013/12/10 15:11:43	10	Incas extinguished rapturous exposed
2014/04/22 11:35:22	6	nauseate evident funding brags
2014/02/16 22:50:20	5	ternary
2014/07/29 19:06:28	1	pint decouple grandparent lustiness merrily
2013/12/22 03:23:27	3	rougher Vichy sentencing
2014/08/22 06:59:40	8	dissociated incubation Ellie expected
2014/02/15 08:29:07	6	transporting
2014/06/24 17:04:24	5	topple liquidity revolution Starkey Scribners
2014/01/26 18:41:03	10	omission
2014/06/03 06:26:27	10	activators rusticates enlightening
2014/04/06 10:01:58	8	ergo insight
2014/07/27 17:53:02	5	aborigine rattlesnakes finessing
2013/10/08 02:05:34	7	designators Cyprian
2014/04/09 12:35:36	7	basil
2014/03/12 13:21:55	7	dazed Vichy crush
2013/09/24 17:14:38	4	disqualify rulings
2013/11/01 04:51:12	10	thud sediments cohesive temporaries circumventable
2014/05/10 06:32:30	7	threatening writ researcher spool administers
2014/06/03 16:26:00	4	Diane Aerobacter
2014/01/30 21:35:48	3	shrieking ferments
2013/10/18 06:07:53	7	caldera lifelessness
2014/02/07 12:22:10	8	pancakes hypothesizer Siegmund hangmen restructure
