time,score,note
9/12/2013 4:20:55,5,angrier acknowledger coatings
9/12/2013 18:18:38,9,cocked
9/15/2013 5:15:26,9,Karen ellipsoids orientation
9/15/2013 5:22:41,1,pithes continuance
9/15/2013 10:03:10,7,fobbing chording deviates NATO
9/16/2013 9:19:01,10,Russia
9/17/2013 13:30:50,1,enders Procrusteanize unguarded
9/19/2013 2:19:37,7,Niccolo coded
9/21/2013 3:55:39,6,reanalyzes interrelated bespoke added
9/22/2013 17:21:09,7,rumpled Brillouin stifle steel damping
9/24/2013 3:28:37,4,military firmed Nilsen adulterous appealingly
9/24/2013 7:01:12,7,Shakespearean feared schematics
9/24/2013 17:14:38,4,disqualify rulings
9/28/2013 6:54:01,6,thunderbolts
9/29/2013 19:34:13,8,chemically opals
10/1/2013 17:11:40,8,northeastern eliminations Cupid reconfigurations manage
10/1/2013 19:27:16,7,liken Horace
10/4/2013 1:30:53,9,overtaking hoes startle railroader
10/7/2013 8:01:59,8,partridges directrices brawl Larsen makings
10/7/2013 12:28:05,2,regional octaves losses
10/8/2013 2:05:34,7,designators Cyprian
10/10/2013 7:17:06,7,stomaching Velasquez patiently perilous furnishes
10/11/2013 21:16:22,4,global Eleazar aquifer taller
10/12/2013 10:01:15,7,transistorizing
10/14/2013 8:31:33,4,nonspecialist Blum wavefronts submariners sing
10/15/2013 12:47:45,5,subsisted startup Hitlerites
10/16/2013 9:47:38,5,Joliet spatula lost global
10/16/2013 9:57:08,7,sprinting dative tillable awkwardly
10/17/2013 10:09:37,2,gaseously Lola rhyming lexicons
10/18/2013 6:07:53,7,caldera lifelessness
10/18/2013 7:42:16,3,overloading Newmanizes airfield
10/18/2013 12:45:35,3,posterity proclivities
10/18/2013 16:06:23,4,ceasing eager midday potential forestalls
10/18/2013 17:46:47,1,faintness Draco atonement craftspeople
10/18/2013 22:21:38,1,pined piano rearranged Daly terminated
10/19/2013 0:52:23,7,tonics proposal
10/19/2013 12:17:37,9,encouragements treasuries Carlo Capet
10/21/2013 21:20:36,10,apply image hiker
10/22/2013 4:52:16,4,disposer precariously
10/22/2013 14:34:04,3,falsehood quits championing underplayed
10/22/2013 17:54:01,3,wiles interrogative
10/23/2013 17:49:02,6,telegraph Victoria stipulation synopses astronomers
10/24/2013 16:03:11,2,rink
10/25/2013 15:39:00,6,pioneer
10/29/2013 9:03:45,2,Stevenson Adrian rawness purporting
10/30/2013 19:21:40,3,DiMaggio Diana blemishes conquerors
11/1/2013 4:51:12,10,thud sediments cohesive temporaries circumventable
11/1/2013 11:51:15,7,cremation shipyard
11/2/2013 6:25:18,3,regents
11/8/2013 12:54:01,5,troubling Cooley nourish
11/10/2013 10:12:18,6,stockroom drifting sheen mutterer
11/10/2013 14:47:45,1,positron pilgrims claimed broadenings
11/10/2013 16:56:05,6,pedigree rugs Denver blanketing Lucian
11/11/2013 22:52:07,2,flexible opulent impersonally blacker
11/11/2013 23:03:05,7,apricots
11/12/2013 20:42:50,7,question differ acrid gladden
11/15/2013 10:02:50,7,enunciation felony computers amazingly
11/15/2013 20:54:30,10,laughter strategist
11/17/2013 1:37:07,6,perfectness obstructions Hennessy complimented odiousness
11/18/2013 22:24:26,10,blustering facto founds
11/20/2013 6:03:47,5,happiness best epaulets aimed
11/22/2013 15:01:28,4,sprinkles
11/22/2013 18:28:41,2,grossness postlude treatise deviate individualizing
11/24/2013 19:04:20,4,pan port secretary
11/25/2013 19:51:34,1,politic mixing kindle treated Vella
11/25/2013 21:43:10,10,pineapples relabelling passed
11/26/2013 11:10:04,5,commodores situationally Norristown wild
11/27/2013 0:49:32,10,bimetallic bewailing unqualifiedly carton
11/27/2013 13:05:39,3,poured incredible trips retry
11/27/2013 21:58:41,8,papal Maharashtra
11/28/2013 0:00:24,4,indulge pumpkins laid provokes
11/28/2013 16:57:19,2,carnal reappraisal basal
11/28/2013 19:12:02,8,moduli Derek antiques flux grotesque
11/29/2013 6:53:55,6,tailoring
11/29/2013 7:40:36,1,Deanna buffets warring clicked
12/2/2013 19:08:30,10,flatter subdirectory domesticating
12/7/2013 7:10:40,7,defenestrating postman Fijians
12/8/2013 11:02:10,6,pleases Bosporus cartoons segment
12/8/2013 23:49:56,2,counteracted
12/9/2013 23:16:44,1,tastes Molochize
12/10/2013 15:11:43,10,Incas extinguished rapturous exposed
12/11/2013 4:07:06,1,Goren agencies
12/11/2013 4:37:23,1,evidently bitterer woodcocks
12/13/2013 6:51:17,6,boastfully secrecy
12/15/2013 12:57:11,6,nibbler brooder subtract fantasy expounding
12/16/2013 3:02:23,8,annually whirled
12/18/2013 17:48:36,8,peaks freeness resolve
12/18/2013 17:58:31,5,statuette Della ascendency
12/19/2013 2:00:13,3,ill collaboration
12/19/2013 3:41:02,3,unequally shouted Prattville intestinal
12/20/2013 6:31:56,2,stormiest bloodshed Kingston sweepers
12/22/2013 3:23:27,3,rougher Vichy sentencing
12/22/2013 8:37:43,10,wonderingly looped oversees
12/22/2013 9:10:46,4,scram avariciously dielectrics pencils loudest
12/23/2013 1:38:17,3,usably dimensionally closet sods
12/23/2013 5:46:33,3,smoky perpetrations sidearm automobiles
12/23/2013 8:20:39,5,ranched amuse begrudges
12/25/2013 6:26:29,6,plebian addicts forcefulness graphic grail
12/29/2013 2:36:46,3,debutante survives reclaim
12/29/2013 14:13:06,5,married bimodal dusky hangovers crazy
12/30/2013 5:24:23,5,bloods
12/31/2013 13:30:02,7,amphibians boolean
12/31/2013 17:51:49,5,cataclysmic biddy
1/2/2014 9:42:10,3,Cavendish hindsight
1/5/2014 13:02:16,9,emergence palace reclassification circuitous
1/5/2014 20:39:39,3,Baptist pallid Sudanic
1/6/2014 13:35:10,4,uncorrected soured compactor hypocrisies forcer
1/6/2014 14:50:33,10,hears incidentals sharpest
1/9/2014 9:23:06,5,makes smuggles rampart zealousness rays
1/10/2014 2:26:31,8,decimate she hammers
1/10/2014 9:11:30,10,supergroups liters Levis bench nongovernmental
1/11/2014 2:17:56,3,antisera experimenting havoc naughtiness backache
1/11/2014 12:35:32,3,shred fathoming spying
1/12/2014 19:41:32,7,activation horrifying intensively blur philosophy
1/13/2014 19:42:00,3,supergroups Joseph cartography awkward birdie
1/17/2014 1:34:39,8,adjudicated Athena thinkable
1/18/2014 4:50:00,1,mini burgeoning
1/19/2014 11:42:32,6,aviators decomposes
1/19/2014 16:44:18,8,ejaculates
1/22/2014 3:50:17,3,Bangladesh haul counsel reabbreviating eccentric
1/22/2014 5:24:47,2,secreting snouts
1/22/2014 12:19:11,2,locates gerbil cortex sheen
1/23/2014 2:06:13,3,pieces
1/24/2014 16:07:29,2,incubates distinguishing floodlight unlock resolvers
1/26/2014 18:41:03,10,omission
1/28/2014 23:43:30,10,minuter deigned alcoholic gassy see
1/29/2014 6:43:38,5,behavior foregoes clothing cultivation soldiering
1/30/2014 12:50:39,3,Addison tugs
1/30/2014 20:05:12,3,bruise
1/30/2014 21:35:48,3,shrieking ferments
1/30/2014 22:01:01,2,rhombus additional
2/1/2014 19:26:12,2,vignettes gainful aquarium Nate
2/2/2014 11:03:37,7,telephoned accrue unintelligible
2/3/2014 22:35:28,1,qualification evergreen summary
2/4/2014 12:32:36,8,participle unities overwritten cowering daytime
2/5/2014 5:34:36,9,adventitious naively
2/5/2014 9:46:30,6,downfall pessimism sculpts suitableness consumers
2/5/2014 11:39:01,10,essence protrude junction
2/6/2014 2:53:49,1,fungal strait fooled
2/7/2014 2:43:14,1,seriousness twirler adversities spiral
2/7/2014 12:22:10,8,pancakes hypothesizer Siegmund hangmen restructure
2/9/2014 17:11:14,3,Francine
2/11/2014 10:11:53,6,Bertie
2/12/2014 13:26:38,9,Zeiss
2/14/2014 2:33:16,3,borrow
2/15/2014 8:29:07,6,transporting
2/15/2014 13:51:38,5,awaking wooded
2/16/2014 22:50:20,5,ternary
2/18/2014 9:45:55,1,transitory
2/18/2014 12:37:05,10,reclaimer
2/19/2014 0:21:17,1,hearten rallying Bellini beech regretfully
2/21/2014 2:37:20,6,stockroom
2/25/2014 14:02:07,5,quay attitude
2/26/2014 0:56:34,5,Appleby infirmary
2/28/2014 20:25:09,7,oscillation naked suspicions progressive
3/1/2014 3:34:33,1,aspires
3/1/2014 4:15:41,9,found autumnal philosophizing keypads gears
3/1/2014 14:22:46,10,differentiating
3/1/2014 18:35:09,9,Brahmaputra Satan curlicue assessing horsefly
3/2/2014 11:18:10,10,skewers
3/3/2014 0:08:17,2,hygiene kite
3/3/2014 18:24:01,6,Clyde Orientalized excreting bankruptcy
3/3/2014 20:49:23,5,protestation
3/3/2014 23:37:52,7,Caesarizes harlot Angie appertains
3/5/2014 14:47:49,7,algaecide
3/6/2014 11:13:46,4,inhabiting calmed shipmate translator
3/6/2014 14:02:02,5,reuniting Brunhilde
3/7/2014 1:01:24,9,shadiest uncommitted specialization freighting
3/9/2014 10:26:54,4,bungalows Libya underlines
3/12/2014 13:21:55,7,dazed Vichy crush
3/15/2014 11:40:36,9,wording sick copiously poured
3/16/2014 22:24:26,5,kittenish procreate deceptions hopefulness mash
3/16/2014 23:48:09,5,seems homesteader attracting timeless
3/18/2014 3:48:25,8,drowsy Christine
3/22/2014 14:49:41,9,utilized
3/22/2014 15:09:55,9,gouges
3/22/2014 17:42:00,4,young digitally Asian bipeds
3/22/2014 19:39:09,8,cowardly
3/23/2014 9:02:02,2,worldliness commit
3/24/2014 23:31:04,6,swordfish DECstation
3/25/2014 0:20:49,1,nastiest monostable goes
3/25/2014 2:14:42,3,competitive blisters evaluated
3/25/2014 17:22:19,8,eunuchs abbeys merchant Stalins
3/26/2014 17:54:12,8,sawdust
3/26/2014 20:31:47,6,Episcopalianize Veronica
3/28/2014 13:47:23,3,ohm streeters promulgate
3/29/2014 23:54:57,1,distance
3/30/2014 10:36:21,4,delta
4/2/2014 16:19:31,6,belied veer pursuing
4/3/2014 19:28:02,5,Elliot squid grinders
4/4/2014 11:02:07,9,perfectness dyne Brindisi compression tours
4/6/2014 10:01:58,8,ergo insight
4/6/2014 22:11:43,7,retiring
4/7/2014 11:13:12,10,desirable plebian spender scrape decoding
4/9/2014 0:20:54,3,goings
4/9/2014 3:07:21,2,unquestionably Parkersburg
4/9/2014 3:26:30,2,delineate intrigue Gothicism hall
4/9/2014 6:29:40,5,boric DiMaggio vase
4/9/2014 11:26:20,1,simulcast blandness
4/9/2014 12:35:36,7,basil
4/10/2014 23:50:24,9,birthplace canvasser incredible postcondition engenders
4/11/2014 1:56:27,4,byways eavesdropping thunders scouted
4/11/2014 3:53:42,10,disclaimed Loyola
4/14/2014 6:11:34,6,jurors tins ingredient entrepreneur
4/14/2014 18:52:11,7,veterans crux workbook
4/16/2014 6:33:18,6,forbears conflicting deliberative preinitialize nudged
4/17/2014 3:30:03,6,laser rowboat spaces blowup
4/18/2014 18:02:32,9,detractors surgery
4/19/2014 20:26:35,7,Doric compatibilities evening Aitken
4/20/2014 9:52:37,5,Miltonian forty modifiability
4/20/2014 9:57:24,2,assail cheese Eurasian inauguration simmer
4/20/2014 17:02:49,2,borderline simulcast elevate sulkiness
4/21/2014 7:47:51,4,sprinkle
4/22/2014 3:35:16,4,complacency elucidate Mercedes totalities
4/22/2014 11:35:22,6,nauseate evident funding brags
4/22/2014 19:36:27,9,rotor somersault deliverables
4/23/2014 8:53:51,4,frisked
4/25/2014 5:23:31,3,birthplace Judaism ugh Patsies cape
4/26/2014 0:04:46,7,devilishly arrives foist Willem
4/27/2014 18:32:09,7,superb rare
4/28/2014 17:59:44,8,probing unwillingly pacifies barbarities flunked
4/29/2014 17:11:41,2,bouncy
4/30/2014 8:46:18,5,obeys hefty clatter indicates grisly
4/30/2014 16:14:56,3,ceding
5/1/2014 0:05:37,10,hurtle Mardi
5/2/2014 5:00:38,2,Kamchatka pronouncements
5/2/2014 22:17:10,10,workman acclamation messiness blowers exposers
5/3/2014 12:36:44,6,chillingly
5/3/2014 14:16:54,4,cosine neckties attenders caving confronter
5/5/2014 23:14:21,10,bounteous Alexei incremented
5/6/2014 14:45:45,9,degraded Andrews
5/7/2014 10:09:19,5,grader pulling bylaw grave released
5/7/2014 20:29:38,5,Statler
5/7/2014 21:41:14,9,Ali oral Nina sparrows
5/10/2014 6:32:30,7,threatening writ researcher spool administers
5/10/2014 9:43:59,2,factually
5/12/2014 12:51:31,2,yanking Melampus
5/13/2014 0:06:02,8,inscribing enhances awhile pry fights
5/13/2014 0:31:26,3,grease
5/13/2014 4:15:43,4,councils ostentatious meaningfulness consume
5/13/2014 23:13:31,5,borders instruct
5/14/2014 8:58:55,3,aurora
5/15/2014 16:26:30,6,mitten expending escort vehement Dayton
5/16/2014 16:28:18,6,weasels dunce producible Chancellorsville sunlit
5/17/2014 14:21:58,2,irons touchiness miscellaneous
5/18/2014 20:00:41,6,sensibly sifting appointing stupidities
5/19/2014 1:54:17,10,now
5/19/2014 18:45:21,3,synchronizing
5/20/2014 9:42:32,3,gods
5/22/2014 2:25:20,5,coined Bundestag subtracting firming
5/24/2014 17:02:53,5,Durham developmental coopers
5/25/2014 5:10:48,3,soften strays poisons canner
5/27/2014 12:29:10,7,germicide
5/28/2014 17:01:42,4,Ohio adagios unifications concedes
5/28/2014 21:53:49,6,revolts
5/29/2014 5:16:00,9,degrades concur panty opportune
5/29/2014 21:09:33,8,hedged
5/31/2014 17:06:53,6,sophistication
6/2/2014 3:54:11,4,ravager message motif centerpieces
6/2/2014 5:35:41,10,amazers normalizing
6/3/2014 6:26:27,10,activators rusticates enlightening
6/3/2014 16:26:00,4,Diane Aerobacter
6/4/2014 12:08:04,2,tapering immaculate pundit dips headlines
6/4/2014 14:24:44,5,investigatory summarization assiduous muskoxen mourners
6/5/2014 1:38:51,9,disburses taper
6/6/2014 14:08:57,7,sulphuric hamburger venom substring Todd
6/7/2014 0:27:56,3,insistence quaternary goaded mantlepiece
6/7/2014 8:24:12,3,smelly
6/7/2014 8:45:31,7,incisive Allentown seeps brae
6/8/2014 0:04:31,10,instituting confront flood cancellation Merck
6/8/2014 7:30:34,1,Davison walling withers jostling
6/9/2014 2:45:44,4,paintings profile whelp quad mechanizing
6/9/2014 6:55:40,10,loaned dote Hebe squirm
6/10/2014 5:17:30,9,soars biologists necessitation
6/10/2014 7:02:28,9,cytoplasm prints
6/10/2014 7:58:05,9,violinists
6/10/2014 8:09:54,9,prompts Fulbrights crafty
6/11/2014 2:24:48,4,scoffer concerted thoughts uncomputable
6/14/2014 18:10:29,6,puncture hunches Chartres migrations
6/16/2014 0:15:04,5,server Voltaire maids Mongolian loin
6/17/2014 3:56:21,4,Gatsby
6/20/2014 19:02:01,7,befuddled wave
6/24/2014 12:36:24,7,Spartanize arachnid debuggers denotational Orville
6/24/2014 17:04:24,5,topple liquidity revolution Starkey Scribners
6/25/2014 2:34:28,5,world wager certifier rhythms axles
6/25/2014 6:46:12,1,flail mountainous
6/25/2014 17:03:36,10,relics
6/25/2014 18:05:40,8,bicycling groggy denunciation purges
6/26/2014 2:30:55,3,previously rugs interruptions van
6/26/2014 11:31:08,4,Bette strutting Northampton today
6/27/2014 21:44:26,4,concern placing frail lexicographical Kronecker
6/27/2014 23:04:33,8,whooped mural
6/28/2014 0:01:31,7,intervals
6/29/2014 0:40:07,5,bleached strenuous
7/1/2014 23:16:51,6,Orion
7/2/2014 16:01:00,9,Suez
7/4/2014 0:24:24,10,gingerly
7/4/2014 0:29:37,3,Carlisle browbeaten ferociousness
7/5/2014 6:39:23,3,ships
7/8/2014 22:31:18,8,divert
7/9/2014 0:21:34,1,cackle jars recreate infinitive
7/9/2014 21:19:01,7,surrendered Hubbell bottlers revolution overt
7/15/2014 13:48:42,4,Nineveh migration more restaurateur bandstand
7/15/2014 17:23:37,4,Urania Indochinese
7/16/2014 17:28:55,8,correlation
7/17/2014 13:24:45,6,pivoting insurance
7/18/2014 1:40:33,9,driven interconnecting grind
7/18/2014 4:54:56,4,evicting pull mark Plexiglas
7/18/2014 13:01:07,2,incompatible innocuously conservations
7/20/2014 5:20:43,5,boss distort
7/20/2014 9:32:13,5,Scotland sinner dormitories
7/21/2014 13:56:00,3,transporter
7/22/2014 14:03:51,5,epitomizing Gothicize Yankee bubbling
7/22/2014 23:55:53,6,grafter Pyle agonized nails
7/23/2014 0:04:57,9,bristling indolent
7/24/2014 7:12:20,1,brevets dabbled unfamiliar Wilkins tachometers
7/26/2014 21:44:56,7,lounged
7/27/2014 17:53:02,5,aborigine rattlesnakes finessing
7/29/2014 19:06:28,1,pint decouple grandparent lustiness merrily
8/1/2014 5:21:06,5,indirection
8/4/2014 3:41:05,5,romper constitutive belied
8/4/2014 4:36:14,9,utilized biomedical Olga Koch
8/4/2014 10:16:07,4,fecund
8/6/2014 23:51:25,6,hears vases
8/7/2014 0:29:30,1,homogeneously snorts assembling
8/8/2014 2:37:49,4,annoyers beings Buckley
8/8/2014 6:55:03,4,astral bustling dahlia raining
8/8/2014 8:54:52,8,booths abed
8/10/2014 19:16:43,10,urchins heterogenous
8/11/2014 8:09:04,10,disquiet bakers revoked accentual
8/12/2014 1:38:20,4,ordain concourse refuge reformatted hyena
8/12/2014 8:03:19,3,assemblages algebras
8/12/2014 15:33:12,4,stud
8/12/2014 16:15:57,3,Uruguay'a
8/14/2014 1:24:56,5,outlying binders
8/14/2014 10:11:13,8,plotting
8/15/2014 7:05:09,1,Cauchy questing Charlie shrub
8/15/2014 13:13:16,2,myself comment betraying clattering Clare
8/18/2014 3:44:24,3,communicate Cunningham
8/21/2014 8:12:18,8,accede psychopath
8/21/2014 20:03:43,3,shone satanic
8/22/2014 6:59:40,8,dissociated incubation Ellie expected
8/22/2014 21:51:57,8,polices passing Gothically Jane
8/23/2014 12:09:27,3,Erikson vermin manicure realest
8/24/2014 11:55:04,7,commissions awash airy Jennie blink
8/25/2014 7:59:36,4,psyches voucher
8/25/2014 13:38:27,5,degree
8/28/2014 5:52:21,5,grownups principled degree
8/28/2014 6:23:45,9,sobriety protrusions
8/28/2014 8:03:04,7,trafficking
8/29/2014 20:09:12,7,supersede Heinrich
8/31/2014 2:11:49,5,implementer thump ossify syrup
8/31/2014 7:00:24,6,besmirch
8/31/2014 17:16:06,9,Roxy
9/1/2014 6:02:10,10,Nichols Melanie snare Lichter
9/2/2014 4:48:29,2,bigotry
9/3/2014 9:59:23,9,lisp coming precocity rejoiced
9/6/2014 9:41:56,5,Pickman Moldavia prerequisites
9/7/2014 6:03:34,10,finessing tiles rebelling
9/7/2014 16:47:09,3,athlete Klan rotations
9/8/2014 0:11:41,7,variety unfaithfulness dogged resplendently vouches
9/9/2014 18:02:59,1,mains align madam
9/10/2014 5:20:06,8,dubiousness wages
9/10/2014 13:11:21,10,commitment
9/10/2014 22:16:19,7,Naples bulls avails enhanced